yyyy-mm-dd,HH:MM,team1,team2,score1,score2
2018-10-21,18:00,Fiorentina,Cagliari,1,1
2018-10-21,20:30,Inter,Milan,1,0
2018-10-22,20:30,Sampdoria,Sassuolo,0,0
2018-10-27,15:00,Atalanta,Parma,3,0
2018-10-27,18:00,Empoli,Juventus,1,2
2018-10-27,20:30,Torino,Fiorentina,1,1
2018-10-28,12:30,Sassuolo,Bologna,2,2
2018-10-28,15:00,Spal,Frosinone,0,3
2018-10-28,15:00,Genoa,Udinese,2,2
2018-10-28,15:00,Cagliari,Chievo,2,1
2018-10-28,18:00,Milan,Sampdoria,3,2
2018-10-28,20:30,Napoli,Roma,1,1
2018-10-29,20:30,Lazio,Inter,0,3
2018-10-31,20:30,Milan,Genoa,2,1
2018-11-02,20:30,Napoli,Empoli,5,1
2018-11-03,15:00,Inter,Genoa,5,0
2018-11-03,18:00,Fiorentina,Roma,1,1
2018-11-03,20:30,Juventus,Cagliari,3,1
2018-11-04,12:30,Lazio,Spal,4,1
2018-11-04,15:00,Sampdoria,Torino,1,4
2018-11-04,15:00,Parma,Frosinone,0,0
2018-11-04,15:00,Chievo,Sassuolo,0,2
2018-11-04,18:00,Bologna,Atalanta,1,2
2018-11-04,20:30,Udinese,Milan,0,1
2018-11-09,20:30,Frosinone,Fiorentina,1,1
2018-11-10,15:00,Torino,Parma,1,2
2018-11-10,18:00,Spal,Cagliari,2,2
2018-11-10,20:30,Genoa,Napoli,1,2
2018-11-11,12:30,Atalanta,Inter,4,1
2018-11-11,15:00,Roma,Sampdoria,4,1
2018-11-11,15:00,Empoli,Udinese,2,1
2018-11-11,15:00,Chievo,Bologna,2,2
2018-11-11,18:00,Sassuolo,Lazio,1,1
2018-11-11,20:30,Milan,Juventus,0,2
2018-11-24,15:00,Udinese,Roma,1,0
2018-11-24,18:00,Juventus,Spal,2,0
2018-11-24,20:30,Inter,Frosinone,3,0
2018-11-25,12:30,Parma,Sassuolo,2,1
2018-11-25,15:00,Napoli,Chievo,0,0
2018-11-25,15:00,Empoli,Atalanta,3,2
2018-11-25,15:00,Bologna,Fiorentina,0,0
2018-11-25,18:00,Lazio,Milan,1,1
2018-11-25,20:30,Genoa,Sampdoria,1,1
2018-11-26,20:30,Cagliari,Torino,0,0
2018-12-01,15:00,Spal,Empoli,2,2
2018-12-01,18:00,Fiorentina,Juventus,0,3
2018-12-01,20:30,Sampdoria,Bologna,4,1
2018-12-02,12:30,Milan,Parma,2,1
2018-12-02,15:00,Torino,Genoa,2,1
2018-12-02,15:00,Sassuolo,Udinese,0,0
2018-12-02,15:00,Frosinone,Cagliari,1,1
2018-12-02,18:00,Chievo,Lazio,1,1
2018-12-02,20:30,Roma,Inter,2,2
2018-12-03,20:30,Atalanta,Napoli,1,2
2018-12-07,20:30,Juventus,Inter,1,0
2018-12-08,15:00,Napoli,Frosinone,4,0
2018-12-08,18:00,Cagliari,Roma,2,2
2018-12-08,20:30,Lazio,Sampdoria,2,2
2018-12-09,12:30,Sassuolo,Fiorentina,3,3
2018-12-09,15:00,Udinese,Atalanta,1,3
2018-12-09,15:00,Parma,Chievo,1,1
2018-12-09,15:00,Empoli,Bologna,2,1
2018-12-09,18:00,Genoa,Spal,1,1
2018-12-09,20:30,Milan,Torino,0,0
2018-12-15,18:00,Inter,Udinese,1,0
2018-12-15,20:30,Torino,Juventus,0,1
2018-12-16,12:30,Spal,Chievo,0,0
2018-12-16,15:00,Sampdoria,Parma,2,0
2018-12-16,15:00,Frosinone,Sassuolo,0,2
2018-12-16,15:00,Fiorentina,Empoli,3,1
2018-12-16,18:00,Cagliari,Napoli,0,1
2018-12-16,20:30,Roma,Genoa,3,2
2018-12-17,20:30,Atalanta,Lazio,1,0
2018-12-18,20:30,Bologna,Milan,0,0
2018-12-22,12:30,Lazio,Cagliari,3,1
2018-12-22,15:00,Udinese,Frosinone,1,1
2018-12-22,15:00,Sassuolo,Torino,1,1
2018-12-22,15:00,Napoli,Spal,1,0
2018-12-22,15:00,Milan,Fiorentina,0,1
2018-12-22,15:00,Genoa,Atalanta,3,1
2018-12-22,15:00,Empoli,Sampdoria,2,4
2018-12-22,18:00,Parma,Bologna,0,0
2018-12-22,18:00,Chievo,Inter,1,1
2018-12-22,20:30,Juventus,Roma,1,0
2018-12-26,12:30,Frosinone,Milan,0,0
2018-12-26,15:00,Sampdoria,Chievo,2,0
2018-12-26,15:00,Fiorentina,Parma,0,1
2018-12-26,15:00,Cagliari,Genoa,1,0
2018-12-26,15:00,Bologna,Lazio,0,2
2018-12-26,15:00,Atalanta,Juventus,2,2
2018-12-26,18:00,Torino,Empoli,3,0
2018-12-26,18:00,Spal,Udinese,0,0
2018-12-26,18:00,Roma,Sassuolo,3,1
2018-12-26,20:30,Inter,Napoli,1,0
2018-12-29,12:30,Juventus,Sampdoria,2,1
2018-12-29,15:00,Udinese,Cagliari,2,0
2018-12-29,15:00,Sassuolo,Atalanta,2,6
2018-12-29,15:00,Parma,Roma,0,2
2018-12-29,15:00,Lazio,Torino,1,1
2018-12-29,15:00,Genoa,Fiorentina,0,0
2018-12-29,15:00,Empoli,Inter,0,1
2018-12-29,15:00,Chievo,Frosinone,1,0
2018-12-29,18:00,Napoli,Bologna,3,2
2018-12-29,20:30,Milan,Spal,2,1
2019-01-19,15:00,Roma,Torino,3,2
2019-01-19,18:00,Udinese,Parma,1,2
2019-01-19,20:30,Inter,Sassuolo,0,0
2019-01-20,12:30,Frosinone,Atalanta,0,5
2019-01-20,15:00,Spal,Bologna,1,1
2019-01-20,15:00,Fiorentina,Sampdoria,3,3
2019-01-20,18:00,Cagliari,Empoli,2,2
2019-01-20,20:30,Napoli,Lazio,2,1
2019-01-21,15:00,Genoa,Milan,0,2
2019-01-21,20:30,Juventus,Chievo,3,0
2019-01-26,15:00,Sassuolo,Cagliari,3,0
2019-01-26,18:00,Sampdoria,Udinese,4,0
2019-01-26,20:30,Milan,Napoli,0,0
2019-01-27,12:30,Chievo,Fiorentina,3,4
2019-01-27,15:00,Parma,Spal,2,3
2019-01-27,15:00,Bologna,Frosinone,0,4
2019-01-27,15:00,Atalanta,Roma,3,3
2019-01-27,18:00,Torino,Inter,1,0
2019-01-27,20:30,Lazio,Juventus,1,2
2019-01-28,20:30,Empoli,Genoa,1,3
2019-02-02,15:00,Empoli,Chievo,2,2
2019-02-02,18:00,Napoli,Sampdoria,3,0
2019-02-02,20:30,Juventus,Parma,3,3
2019-02-03,12:30,Spal,Torino,0,0
2019-02-03,15:00,Udinese,Fiorentina,1,1
2019-02-03,15:00,Genoa,Sassuolo,1,1
2019-02-03,18:00,Inter,Bologna,0,1
2019-02-03,20:30,Roma,Milan,1,1
2019-02-04,19:00,Frosinone,Lazio,0,1
2019-02-04,21:00,Cagliari,Atalanta,0,1
2019-02-07,20:30,Lazio,Empoli,1,0
2019-02-08,20:30,Chievo,Roma,0,3
2019-02-09,18:00,Fiorentina,Napoli,0,0
2019-02-09,20:30,Parma,Inter,0,1
2019-02-10,12:30,Bologna,Genoa,1,1
2019-02-10,15:00,Torino,Udinese,1,0
2019-02-10,15:00,Sampdoria,Frosinone,0,1
2019-02-10,15:00,Atalanta,Spal,2,1
2019-02-10,18:00,Sassuolo,Juventus,0,3
2019-02-10,20:30,Milan,Cagliari,3,0
2019-02-15,20:30,Juventus,Frosinone,3,0
2019-02-16,18:00,Cagliari,Parma,2,1
2019-02-16,20:30,Atalanta,Milan,1,3
2019-02-17,12:30,Spal,Fiorentina,1,4
2019-02-17,15:00,Udinese,Chievo,1,0
2019-02-17,15:00,Genoa,Lazio,2,1
2019-02-17,15:00,Empoli,Sassuolo,3,0
2019-02-17,18:00,Inter,Sampdoria,2,1
2019-02-17,20:30,Napoli,Torino,0,0
2019-02-18,20:30,Roma,Bologna,2,1
2019-02-22,20:30,Milan,Empoli,3,0
2019-02-23,15:00,Torino,Atalanta,2,0
2019-02-23,20:30,Frosinone,Roma,2,3
2019-02-24,12:30,Sampdoria,Cagliari,1,0
2019-02-24,15:00,Sassuolo,Spal,1,1
2019-02-24,15:00,Chievo,Genoa,0,0
2019-02-24,15:00,Bologna,Juventus,0,1
2019-02-24,18:00,Parma,Napoli,0,4
2019-02-24,20:30,Fiorentina,Inter,3,3
2019-03-01,20:30,Cagliari,Inter,2,1
2019-03-02,15:00,Empoli,Parma,3,3
2019-03-02,18:00,Milan,Sassuolo,1,0
2019-03-02,20:30,Lazio,Roma,3,0
2019-03-03,12:30,Torino,Chievo,3,0
2019-03-03,15:00,Udinese,Bologna,2,1
2019-03-03,15:00,Spal,Sampdoria,1,2
2019-03-03,15:00,Genoa,Frosinone,0,0
2019-03-03,18:00,Atalanta,Fiorentina,3,1
2019-03-03,20:30,Napoli,Juventus,1,2
2019-03-08,20:30,Juventus,Udinese,4,1
2019-03-09,18:00,Parma,Genoa,1,0
2019-03-09,20:30,Chievo,Milan,1,2
2019-03-10,12:30,Bologna,Cagliari,2,0
2019-03-10,15:00,Sampdoria,Atalanta,1,2
2019-03-10,15:00,Inter,Spal,2,0
2019-03-10,15:00,Frosinone,Torino,1,2
2019-03-10,18:00,Sassuolo,Napoli,1,1
2019-03-10,20:30,Fiorentina,Lazio,1,1
2019-03-11,20:30,Roma,Empoli,2,1
2019-03-15,20:30,Cagliari,Fiorentina,2,1
2019-03-16,15:00,Sassuolo,Sampdoria,3,5
2019-03-16,18:00,Spal,Roma,2,1
2019-03-16,20:30,Torino,Bologna,2,3
2019-03-17,12:30,Genoa,Juventus,2,0
2019-03-17,15:00,Lazio,Parma,4,1
2019-03-17,15:00,Empoli,Frosinone,2,1
2019-03-17,15:00,Atalanta,Chievo,1,1
2019-03-17,18:00,Napoli,Udinese,4,2
2019-03-17,20:30,Milan,Inter,2,3
2019-03-29,20:30,Chievo,Cagliari,0,3
2019-03-30,15:00,Udinese,Genoa,2,0
2019-03-30,18:00,Juventus,Empoli,1,0
2019-03-30,20:30,Sampdoria,Milan,1,0
2019-03-31,12:30,Parma,Atalanta,1,3
2019-03-31,15:00,Roma,Napoli,1,4
2019-03-31,15:00,Frosinone,Spal,0,1
2019-03-31,15:00,Fiorentina,Torino,1,1
2019-03-31,18:00,Bologna,Sassuolo,2,1
2019-03-31,20:30,Inter,Lazio,0,1
2019-04-02,19:00,Milan,Udinese,1,1
2019-04-02,21:00,Cagliari,Juventus,0,2
2019-04-03,19:00,Empoli,Napoli,2,1
2019-04-03,21:00,Torino,Sampdoria,2,1
2019-04-03,21:00,Spal,Lazio,1,0
2019-04-03,21:00,Roma,Fiorentina,2,2
2019-04-03,21:00,Genoa,Inter,0,4
2019-04-03,21:00,Frosinone,Parma,3,2
2019-04-04,19:00,Sassuolo,Chievo,4,0
2019-04-04,21:00,Atalanta,Bologna,4,1
2019-04-06,15:00,Parma,Torino,0,0
2019-04-06,18:00,Juventus,Milan,2,1
2019-04-06,20:30,Sampdoria,Roma,0,1
2019-04-07,12:30,Fiorentina,Frosinone,0,1
2019-04-07,15:00,Udinese,Empoli,3,2
2019-04-07,15:00,Cagliari,Spal,2,1
2019-04-07,18:00,Lazio,Sassuolo,2,2
2019-04-07,18:00,Inter,Atalanta,0,0
2019-04-07,20:30,Napoli,Genoa,1,1
2019-04-08,20:30,Bologna,Chievo,3,0
2019-04-13,15:00,Spal,Juventus,2,1
2019-04-13,18:00,Roma,Udinese,1,0
2019-04-13,20:30,Milan,Lazio,1,0
2019-04-14,12:30,Torino,Cagliari,1,1
2019-04-14,15:00,Sassuolo,Parma,0,0
2019-04-14,15:00,Sampdoria,Genoa,2,0
2019-04-14,15:00,Fiorentina,Bologna,0,0
2019-04-14,18:00,Chievo,Napoli,1,3
2019-04-14,20:30,Frosinone,Inter,1,3
2019-04-15,20:30,Atalanta,Empoli,0,0
2019-04-17,19:00,Lazio,Udinese,2,0
2019-04-20,12:30,Parma,Milan,1,1
2019-04-20,15:00,Udinese,Sassuolo,1,1
2019-04-20,15:00,Lazio,Chievo,1,2
2019-04-20,15:00,Genoa,Torino,0,1
2019-04-20,15:00,Empoli,Spal,2,4
2019-04-20,15:00,Cagliari,Frosinone,1,0
2019-04-20,15:00,Bologna,Sampdoria,3,0
2019-04-20,18:00,Juventus,Fiorentina,2,1
2019-04-20,20:30,Inter,Roma,1,1
2019-04-22,19:00,Napoli,Atalanta,1,2
2019-04-27,15:00,Bologna,Empoli,3,1
2019-04-27,18:00,Roma,Cagliari,3,0
2019-04-27,20:30,Inter,Juventus,1,1
2019-04-28,12:30,Frosinone,Napoli,0,2
2019-04-28,15:00,Spal,Genoa,1,1
2019-04-28,15:00,Chievo,Parma,1,1
2019-04-28,18:00,Sampdoria,Lazio,1,2
2019-04-28,20:30,Torino,Milan,2,0
2019-04-29,19:00,Atalanta,Udinese,2,0
2019-04-29,21:00,Fiorentina,Sassuolo,0,1
2019-05-03,20:30,Juventus,Torino,1,1
2019-05-04,18:00,Chievo,Spal,0,4
2019-05-04,20:30,Udinese,Inter,0,0
2019-05-05,12:30,Empoli,Fiorentina,1,0
2019-05-05,15:00,Sassuolo,Frosinone,2,2
2019-05-05,15:00,Parma,Sampdoria,3,3
2019-05-05,15:00,Lazio,Atalanta,1,3
2019-05-05,18:00,Genoa,Roma,1,1
2019-05-05,20:30,Napoli,Cagliari,2,1
2019-05-06,20:30,Milan,Bologna,2,1
2019-05-11,15:00,Atalanta,Genoa,2,1
2019-05-11,18:00,Cagliari,Lazio,1,2
2019-05-11,20:30,Fiorentina,Milan,0,1
2019-05-12,12:30,Torino,Sassuolo,3,2
2019-05-12,15:00,Sampdoria,Empoli,1,2
2019-05-12,15:00,Frosinone,Udinese,1,3
2019-05-12,18:00,Spal,Napoli,1,2
2019-05-12,20:30,Roma,Juventus,2,0
2019-05-13,19:00,Bologna,Parma,4,1
2019-05-13,21:00,Inter,Chievo,2,0
2019-05-18,15:00,Udinese,Spal,3,2
2019-05-18,18:00,Genoa,Cagliari,1,1
2019-05-18,20:30,Sassuolo,Roma,0,0
2019-05-19,12:30,Chievo,Sampdoria,0,0
2019-05-19,15:00,Parma,Fiorentina,1,0
2019-05-19,15:00,Empoli,Torino,4,1
2019-05-19,18:00,Milan,Frosinone,2,0
2019-05-19,20:30,Napoli,Inter,4,1
2019-05-19,20:30,Juventus,Atalanta,1,1
2019-05-20,20:30,Lazio,Bologna,3,3
2019-05-25,18:00,Frosinone,Chievo,0,0
2019-05-25,20:30,Bologna,Napoli,3,2
2019-05-26,15:00,Torino,Lazio,3,1
2019-05-26,18:00,Sampdoria,Juventus,2,0
2019-05-26,20:30,Spal,Milan,2,3
2019-05-26,20:30,Roma,Parma,2,1
2019-05-26,20:30,Inter,Empoli,2,1
2019-05-26,20:30,Fiorentina,Genoa,0,0
2019-05-26,20:30,Cagliari,Udinese,1,2
2019-05-26,20:30,Atalanta,Sassuolo,3,1
